id,facility,cat_id,app_type,exam_day,start_time,site_id,deleted_at
448,1,2,1,thur,1:00 PM,22,9/12/19 22:38
626,1,2,1,thur,1:00 PM,22,Not Deleted
Group 48,Group 48,Group 48,Group 48,Group 48,Group 48,Group 48,Group 48
480,1,2,1,thur,9:00 AM,6,Not Deleted
989,1,2,1,thur,09:00A.M,6,Not Deleted
Group 49,Group 49,Group 49,Group 49,Group 49,Group 49,Group 49,Group 49
437,1,2,1,thur,10:00 AM,39,1/27/20 20:15
438,1,2,1,thur,10:00 AM,39,6/5/19 15:06
439,1,2,1,thur,10:00 AM,39,6/5/19 15:07
Group 50,Group 50,Group 50,Group 50,Group 50,Group 50,Group 50,Group 50
246,1,2,1,tue,1:00 PM,10,9/16/19 23:54
618,1,2,1,tue,1:00 PM,10,3/21/23 15:23
Group 51,Group 51,Group 51,Group 51,Group 51,Group 51,Group 51,Group 51
198,1,2,1,tue,2:00 PM,8,1/8/19 18:07
477,1,2,1,tue,2:00 PM,8,7/11/19 22:05
551,1,2,1,tue,2:00 PM,8,3/9/23 21:16
Group 52,Group 52,Group 52,Group 52,Group 52,Group 52,Group 52,Group 52
186,1,2,1,tue,8:30 AM,6,12/10/18 19:36
213,1,2,1,tue,8:30 AM,6,2/1/19 20:27
384,1,2,1,tue,8:30 AM,6,Not Deleted
Group 53,Group 53,Group 53,Group 53,Group 53,Group 53,Group 53,Group 53
202,1,2,1,tue,8:30 AM,8,7/23/19 19:49
582,1,2,1,tue,8:30 AM,8,3/21/23 14:50
Group 54,Group 54,Group 54,Group 54,Group 54,Group 54,Group 54,Group 54
76,1,2,1,tue,11:00 AM,6,12/10/18 18:40
224,1,2,1,tue,11:00 AM,6,1/22/19 21:30
260,1,2,1,tue,11:00 AM,6,1/17/19 16:57
298,1,2,1,tue,11:00 AM,6,5/6/19 16:18
442,1,2,1,tue,11:00 AM,6,9/2/19 15:51
606,1,2,1,tue,11:00 AM,6,Not Deleted
